machine_id,timestamp,temperature,vibration,pressure
PUMP_A,2026-02-24 14:34:02,65.07,1.426,3.93
PUMP_B,2026-02-24 14:34:02,63.41,1.834,4.25
MOTOR_C,2026-02-24 14:34:02,68.07,1.775,4.65
COMPRESSOR_D,2026-02-24 14:34:02,70.25,1.371,4.0
PUMP_A,2026-02-24 14:34:04,71.13,1.522,3.68
PUMP_B,2026-02-24 14:34:04,70.13,1.657,4.53
MOTOR_C,2026-02-24 14:34:04,65.27,1.186,3.71
COMPRESSOR_D,2026-02-24 14:34:04,73.29,2.013,4.64
PUMP_A,2026-02-24 14:34:06,73.09,1.241,4.43
PUMP_B,2026-02-24 14:34:06,65.06,1.725,3.88
MOTOR_C,2026-02-24 14:34:06,63.87,1.486,4.75
COMPRESSOR_D,2026-02-24 14:34:06,63.4,2.096,4.15
PUMP_A,2026-02-24 14:34:08,73.2,1.328,4.23
PUMP_B,2026-02-24 14:34:08,66.8,1.04,4.14
MOTOR_C,2026-02-24 14:34:08,73.23,1.699,4.35
COMPRESSOR_D,2026-02-24 14:34:08,68.62,1.107,3.7
PUMP_A,2026-02-24 14:34:10,73.15,1.065,4.09
PUMP_B,2026-02-24 14:34:10,66.69,1.317,4.1
MOTOR_C,2026-02-24 14:34:10,72.54,1.795,4.04
COMPRESSOR_D,2026-02-24 14:34:10,65.18,2.066,4.56
PUMP_A,2026-02-24 14:34:12,64.2,1.663,4.12
PUMP_B,2026-02-24 14:34:12,67.8,1.991,4.16
MOTOR_C,2026-02-24 14:34:12,63.46,2.151,3.69
COMPRESSOR_D,2026-02-24 14:34:12,62.29,1.367,4.22
PUMP_A,2026-02-24 14:34:14,69.56,1.07,4.04
PUMP_B,2026-02-24 14:34:14,73.73,1.774,3.73
MOTOR_C,2026-02-24 14:34:14,63.52,2.381,3.85
COMPRESSOR_D,2026-02-24 14:34:14,73.84,1.157,4.17
PUMP_A,2026-02-24 14:34:16,69.24,1.929,4.23
PUMP_B,2026-02-24 14:34:16,69.68,2.338,4.63
MOTOR_C,2026-02-24 14:34:16,68.95,1.939,3.92
COMPRESSOR_D,2026-02-24 14:34:16,65.28,1.407,4.66
PUMP_A,2026-02-24 14:34:18,67.43,1.89,3.79
PUMP_B,2026-02-24 14:34:18,73.64,2.134,4.46
MOTOR_C,2026-02-24 14:34:18,64.2,2.196,3.88
COMPRESSOR_D,2026-02-24 14:34:18,65.93,1.666,4.08
PUMP_A,2026-02-24 14:34:20,89.19,3.666,2.36
PUMP_B,2026-02-24 14:34:20,64.47,1.531,4.63
MOTOR_C,2026-02-24 14:34:20,62.52,2.376,4.06
COMPRESSOR_D,2026-02-24 14:34:20,73.5,2.258,4.75
PUMP_A,2026-02-24 14:34:22,83.41,4.087,2.83
PUMP_B,2026-02-24 14:34:22,68.28,2.167,3.99
MOTOR_C,2026-02-24 14:34:22,67.33,1.122,4.01
COMPRESSOR_D,2026-02-24 14:34:22,64.96,1.673,4.42
PUMP_A,2026-02-24 14:34:24,83.96,3.519,2.12
PUMP_B,2026-02-24 14:34:24,62.45,1.785,4.61
MOTOR_C,2026-02-24 14:34:24,69.46,1.223,4.62
COMPRESSOR_D,2026-02-24 14:34:24,70.39,1.145,4.23
PUMP_A,2026-02-24 14:34:26,83.95,4.091,2.41
PUMP_B,2026-02-24 14:34:26,63.0,2.226,4.75
MOTOR_C,2026-02-24 14:34:26,71.11,2.069,4.6
COMPRESSOR_D,2026-02-24 14:34:26,66.63,2.026,4.02
PUMP_A,2026-02-24 14:34:28,93.52,3.861,2.99
PUMP_B,2026-02-24 14:34:28,70.98,1.752,3.76
MOTOR_C,2026-02-24 14:34:28,72.93,1.62,3.98
COMPRESSOR_D,2026-02-24 14:34:28,63.15,2.13,4.1
PUMP_A,2026-02-24 14:34:30,83.23,4.27,2.83
PUMP_B,2026-02-24 14:34:30,71.4,1.878,3.98
MOTOR_C,2026-02-24 14:34:30,63.66,2.258,4.3
COMPRESSOR_D,2026-02-24 14:34:30,70.75,1.21,3.89
PUMP_A,2026-02-24 14:34:33,94.68,4.065,2.2
PUMP_B,2026-02-24 14:34:33,71.3,1.185,3.73
MOTOR_C,2026-02-24 14:34:33,62.42,1.305,3.8
COMPRESSOR_D,2026-02-24 14:34:33,69.26,1.86,4.24
PUMP_A,2026-02-24 14:34:35,89.09,4.006,2.39
PUMP_B,2026-02-24 14:34:35,71.74,1.511,4.57
MOTOR_C,2026-02-24 14:34:35,70.54,1.912,3.76
COMPRESSOR_D,2026-02-24 14:34:35,65.26,1.566,3.65
PUMP_A,2026-02-24 14:34:37,90.9,3.366,2.52
PUMP_B,2026-02-24 14:34:37,64.86,1.344,3.91
MOTOR_C,2026-02-24 14:34:37,70.14,2.341,4.66
COMPRESSOR_D,2026-02-24 14:34:37,67.12,1.226,4.07
PUMP_A,2026-02-24 14:34:39,84.97,3.615,2.68
PUMP_B,2026-02-24 14:34:39,69.07,1.13,4.21
MOTOR_C,2026-02-24 14:34:39,65.75,1.217,4.18
COMPRESSOR_D,2026-02-24 14:34:39,71.56,1.053,4.79
PUMP_A,2026-02-24 14:34:41,88.32,3.877,2.62
PUMP_B,2026-02-24 14:34:41,70.29,2.133,3.63
MOTOR_C,2026-02-24 14:34:41,67.7,1.954,3.9
COMPRESSOR_D,2026-02-24 14:34:41,70.32,2.394,4.51
PUMP_A,2026-02-24 14:34:43,92.26,3.813,2.86
PUMP_B,2026-02-24 14:34:43,70.31,2.143,4.77
MOTOR_C,2026-02-24 14:34:43,67.94,1.208,4.8
COMPRESSOR_D,2026-02-24 14:34:43,63.88,1.475,4.44
PUMP_A,2026-02-24 14:34:45,94.61,4.637,2.12
PUMP_B,2026-02-24 14:34:45,70.81,1.04,4.19
MOTOR_C,2026-02-24 14:34:45,73.64,1.104,4.55
COMPRESSOR_D,2026-02-24 14:34:45,68.96,1.603,4.35
PUMP_A,2026-02-24 14:34:47,87.35,4.626,2.99
PUMP_B,2026-02-24 14:34:47,62.28,2.102,4.52
MOTOR_C,2026-02-24 14:34:47,66.9,1.871,4.64
COMPRESSOR_D,2026-02-24 14:34:47,63.05,1.724,3.68
PUMP_A,2026-02-24 14:34:49,86.17,4.317,2.24
PUMP_B,2026-02-24 14:34:49,63.65,1.704,4.44
MOTOR_C,2026-02-24 14:34:49,62.39,1.922,4.67
COMPRESSOR_D,2026-02-24 14:34:49,72.0,1.968,4.24
PUMP_A,2026-02-24 14:34:51,93.3,3.947,2.97
PUMP_B,2026-02-24 14:34:51,64.24,1.04,4.03
MOTOR_C,2026-02-24 14:34:51,68.01,1.35,4.73
COMPRESSOR_D,2026-02-24 14:34:51,68.56,1.625,4.44
PUMP_A,2026-02-24 14:34:53,84.15,3.964,2.13
PUMP_B,2026-02-24 14:34:53,62.36,2.319,4.54
MOTOR_C,2026-02-24 14:34:53,67.98,2.018,4.71
COMPRESSOR_D,2026-02-24 14:34:53,70.64,1.63,3.8
PUMP_A,2026-02-24 14:34:55,84.74,4.798,2.97
PUMP_B,2026-02-24 14:34:55,70.31,1.961,4.62
MOTOR_C,2026-02-24 14:34:55,65.09,1.09,3.63
COMPRESSOR_D,2026-02-24 14:34:55,73.77,1.776,3.66
PUMP_A,2026-02-24 14:34:57,88.57,4.249,2.16
PUMP_B,2026-02-24 14:34:57,62.02,1.708,4.72
MOTOR_C,2026-02-24 14:34:57,67.55,2.054,4.03
COMPRESSOR_D,2026-02-24 14:34:57,71.39,1.033,4.12
PUMP_A,2026-02-24 14:34:59,82.9,4.491,2.4
PUMP_B,2026-02-24 14:34:59,66.06,1.431,3.99
MOTOR_C,2026-02-24 14:34:59,67.31,2.079,4.45
COMPRESSOR_D,2026-02-24 14:34:59,73.9,1.145,3.88
PUMP_A,2026-02-24 14:35:01,89.95,4.628,2.85
PUMP_B,2026-02-24 14:35:01,66.65,1.54,4.41
MOTOR_C,2026-02-24 14:35:01,62.67,1.899,4.26
COMPRESSOR_D,2026-02-24 14:35:01,71.64,1.206,3.84
PUMP_A,2026-02-24 14:35:03,87.35,4.184,2.16
PUMP_B,2026-02-24 14:35:03,68.72,1.095,3.92
MOTOR_C,2026-02-24 14:35:03,64.21,2.09,4.67
COMPRESSOR_D,2026-02-24 14:35:03,70.13,1.15,4.78
PUMP_A,2026-02-24 14:35:07,87.87,4.728,2.12
PUMP_B,2026-02-24 14:35:07,70.41,2.049,4.68
MOTOR_C,2026-02-24 14:35:07,73.5,1.345,4.75
COMPRESSOR_D,2026-02-24 14:35:07,62.54,1.821,4.64
PUMP_A,2026-02-24 14:35:09,91.8,4.164,2.04
PUMP_B,2026-02-24 14:35:09,72.2,1.44,4.73
MOTOR_C,2026-02-24 14:35:09,62.07,2.296,4.69
COMPRESSOR_D,2026-02-24 14:35:09,64.92,1.339,4.43
PUMP_A,2026-02-24 14:35:11,82.24,3.688,2.61
PUMP_B,2026-02-24 14:35:11,73.19,1.845,4.25
MOTOR_C,2026-02-24 14:35:11,63.69,2.224,4.76
COMPRESSOR_D,2026-02-24 14:35:11,67.43,1.843,4.32
PUMP_A,2026-02-24 14:35:13,87.01,3.883,2.85
PUMP_B,2026-02-24 14:35:13,64.2,1.708,3.95
MOTOR_C,2026-02-24 14:35:13,69.07,1.846,4.19
COMPRESSOR_D,2026-02-24 14:35:13,68.23,1.792,4.12
PUMP_A,2026-02-24 14:35:15,91.77,4.022,2.06
PUMP_B,2026-02-24 14:35:15,65.78,1.235,4.64
MOTOR_C,2026-02-24 14:35:15,64.16,1.011,4.29
COMPRESSOR_D,2026-02-24 14:35:15,69.73,1.87,3.87
PUMP_A,2026-02-24 14:35:17,83.9,4.021,2.29
PUMP_B,2026-02-24 14:35:17,68.11,2.387,4.37
MOTOR_C,2026-02-24 14:35:17,68.08,2.339,4.03
COMPRESSOR_D,2026-02-24 14:35:17,65.4,1.464,4.02
PUMP_A,2026-02-24 14:35:19,85.74,4.039,2.56
PUMP_B,2026-02-24 14:35:19,68.87,1.916,3.72
MOTOR_C,2026-02-24 14:35:19,66.45,2.154,3.74
COMPRESSOR_D,2026-02-24 14:35:19,68.56,1.963,4.67
PUMP_A,2026-02-24 14:35:21,85.55,3.815,2.42
PUMP_B,2026-02-24 14:35:21,73.41,1.56,3.63
MOTOR_C,2026-02-24 14:35:21,69.81,1.283,3.87
COMPRESSOR_D,2026-02-24 14:35:21,72.0,2.19,3.77
PUMP_A,2026-02-24 14:35:23,86.73,4.642,2.19
PUMP_B,2026-02-24 14:35:23,73.49,2.0,3.83
MOTOR_C,2026-02-24 14:35:23,64.72,2.367,4.21
COMPRESSOR_D,2026-02-24 14:35:23,64.6,1.651,3.97
PUMP_A,2026-02-24 14:35:25,89.33,3.817,2.82
PUMP_B,2026-02-24 14:35:25,65.46,1.454,4.57
MOTOR_C,2026-02-24 14:35:25,66.31,2.042,3.6
COMPRESSOR_D,2026-02-24 14:35:25,68.86,2.225,4.7
PUMP_A,2026-02-24 14:35:27,91.54,4.453,2.08
PUMP_B,2026-02-24 14:35:27,65.31,2.027,4.7
MOTOR_C,2026-02-24 14:35:27,69.77,1.744,4.14
COMPRESSOR_D,2026-02-24 14:35:27,69.08,1.914,4.49
PUMP_A,2026-02-24 14:35:29,90.98,3.727,2.73
PUMP_B,2026-02-24 14:35:29,63.4,1.914,4.4
MOTOR_C,2026-02-24 14:35:29,63.42,1.866,4.56
COMPRESSOR_D,2026-02-24 14:35:29,72.99,1.712,3.77
PUMP_A,2026-02-24 14:35:31,88.48,4.482,2.2
PUMP_B,2026-02-24 14:35:31,72.35,1.715,4.56
MOTOR_C,2026-02-24 14:35:31,69.63,1.082,3.86
COMPRESSOR_D,2026-02-24 14:35:31,70.22,1.102,4.16
PUMP_A,2026-02-24 14:35:33,89.68,3.205,2.16
PUMP_B,2026-02-24 14:35:33,73.04,1.214,3.82
MOTOR_C,2026-02-24 14:35:33,70.72,2.25,4.75
COMPRESSOR_D,2026-02-24 14:35:33,66.28,1.926,3.81
PUMP_A,2026-02-24 14:35:35,93.26,3.513,2.21
PUMP_B,2026-02-24 14:35:35,66.94,1.657,4.62
MOTOR_C,2026-02-24 14:35:35,72.99,2.365,4.09
COMPRESSOR_D,2026-02-24 14:35:35,66.71,1.344,4.12
PUMP_A,2026-02-24 14:35:37,94.99,4.493,2.55
PUMP_B,2026-02-24 14:35:37,63.74,2.015,4.39
MOTOR_C,2026-02-24 14:35:37,73.44,2.24,4.44
COMPRESSOR_D,2026-02-24 14:35:37,67.81,1.466,4.36
PUMP_A,2026-02-24 14:35:40,86.09,3.562,2.01
PUMP_B,2026-02-24 14:35:40,62.5,2.298,4.24
MOTOR_C,2026-02-24 14:35:40,65.56,1.667,3.91
COMPRESSOR_D,2026-02-24 14:35:40,64.61,1.537,4.62
PUMP_A,2026-02-24 14:35:42,87.74,3.477,2.69
PUMP_B,2026-02-24 14:35:42,69.73,1.671,3.75
MOTOR_C,2026-02-24 14:35:42,66.11,1.663,4.51
COMPRESSOR_D,2026-02-24 14:35:42,71.49,2.275,4.04
PUMP_A,2026-02-24 14:35:44,85.75,3.942,2.03
PUMP_B,2026-02-24 14:35:44,65.99,1.272,4.7
MOTOR_C,2026-02-24 14:35:44,68.87,1.538,3.97
COMPRESSOR_D,2026-02-24 14:35:44,65.17,2.232,3.62
PUMP_A,2026-02-24 14:35:46,87.65,3.526,2.36
PUMP_B,2026-02-24 14:35:46,73.08,1.632,4.5
MOTOR_C,2026-02-24 14:35:46,67.44,1.939,3.94
COMPRESSOR_D,2026-02-24 14:35:46,63.49,1.076,4.43
PUMP_A,2026-02-24 14:35:48,84.54,4.517,2.07
PUMP_B,2026-02-24 14:35:48,67.0,1.58,3.94
MOTOR_C,2026-02-24 14:35:48,70.17,1.586,4.57
COMPRESSOR_D,2026-02-24 14:35:48,71.85,1.944,3.89
PUMP_A,2026-02-24 14:35:50,84.32,3.336,2.09
PUMP_B,2026-02-24 14:35:50,63.59,1.432,4.38
MOTOR_C,2026-02-24 14:35:50,64.71,1.727,4.36
COMPRESSOR_D,2026-02-24 14:35:50,70.66,1.295,4.13
PUMP_A,2026-02-24 14:35:52,91.74,4.295,2.82
PUMP_B,2026-02-24 14:35:52,65.36,1.697,3.98
MOTOR_C,2026-02-24 14:35:52,66.38,1.907,4.14
COMPRESSOR_D,2026-02-24 14:35:52,68.87,1.365,4.2
PUMP_A,2026-02-24 14:35:54,82.09,3.462,2.18
PUMP_B,2026-02-24 14:35:54,72.68,2.262,4.54
MOTOR_C,2026-02-24 14:35:54,70.78,2.182,4.49
COMPRESSOR_D,2026-02-24 14:35:54,70.34,1.121,3.75
PUMP_A,2026-02-24 14:35:56,89.36,4.304,2.49
PUMP_B,2026-02-24 14:35:56,64.75,1.89,4.27
MOTOR_C,2026-02-24 14:35:56,64.5,1.822,4.25
COMPRESSOR_D,2026-02-24 14:35:56,62.92,1.508,3.96
PUMP_A,2026-02-24 14:35:58,88.66,4.451,2.85
PUMP_B,2026-02-24 14:35:58,65.6,1.344,3.7
MOTOR_C,2026-02-24 14:35:58,72.0,2.139,3.85
COMPRESSOR_D,2026-02-24 14:35:58,69.11,2.394,3.93
PUMP_A,2026-02-24 14:36:00,83.56,4.204,2.2
PUMP_B,2026-02-24 14:36:00,66.62,1.577,4.59
MOTOR_C,2026-02-24 14:36:00,68.7,1.264,3.97
COMPRESSOR_D,2026-02-24 14:36:00,64.28,2.157,3.86
PUMP_A,2026-02-24 14:36:02,86.31,3.847,2.51
PUMP_B,2026-02-24 14:36:02,62.48,2.374,3.78
MOTOR_C,2026-02-24 14:36:02,62.27,1.35,4.47
COMPRESSOR_D,2026-02-24 14:36:02,72.39,2.363,4.34
PUMP_A,2026-02-24 14:36:04,93.09,3.204,2.94
PUMP_B,2026-02-24 14:36:04,71.8,1.036,4.7
MOTOR_C,2026-02-24 14:36:04,63.45,1.294,4.72
COMPRESSOR_D,2026-02-24 14:36:04,66.06,1.933,3.95
PUMP_A,2026-02-24 14:36:06,84.32,4.397,2.16
PUMP_B,2026-02-24 14:36:06,64.05,1.73,3.97
MOTOR_C,2026-02-24 14:36:06,62.15,1.04,4.64
COMPRESSOR_D,2026-02-24 14:36:06,72.15,1.183,4.55
PUMP_A,2026-02-24 14:36:08,83.87,4.749,2.72
PUMP_B,2026-02-24 14:36:08,68.44,1.594,4.03
MOTOR_C,2026-02-24 14:36:08,73.12,1.843,4.5
COMPRESSOR_D,2026-02-24 14:36:08,73.0,2.216,4.33
PUMP_A,2026-02-24 14:36:10,85.28,4.259,2.51
PUMP_B,2026-02-24 14:36:10,63.47,1.117,4.58
MOTOR_C,2026-02-24 14:36:10,69.9,1.479,4.54
COMPRESSOR_D,2026-02-24 14:36:10,64.8,1.945,4.54
PUMP_A,2026-02-24 14:36:14,91.86,3.688,2.94
PUMP_B,2026-02-24 14:36:14,73.57,1.348,4.01
MOTOR_C,2026-02-24 14:36:14,72.52,2.142,4.07
COMPRESSOR_D,2026-02-24 14:36:14,65.67,2.089,3.92
PUMP_A,2026-02-24 14:36:16,83.77,3.416,2.39
PUMP_B,2026-02-24 14:36:16,70.02,1.858,4.52
MOTOR_C,2026-02-24 14:36:16,63.77,1.447,4.23
COMPRESSOR_D,2026-02-24 14:36:16,64.54,1.126,4.54
PUMP_A,2026-02-24 14:36:18,94.33,4.614,2.12
PUMP_B,2026-02-24 14:36:18,73.95,1.977,4.07
MOTOR_C,2026-02-24 14:36:18,65.67,1.387,3.89
COMPRESSOR_D,2026-02-24 14:36:18,63.02,1.379,4.16
PUMP_A,2026-02-24 14:36:20,88.08,4.567,2.48
PUMP_B,2026-02-24 14:36:20,63.72,1.434,3.89
MOTOR_C,2026-02-24 14:36:20,64.84,1.992,3.66
COMPRESSOR_D,2026-02-24 14:36:20,66.98,2.288,3.87
PUMP_A,2026-02-24 14:36:22,88.04,3.283,2.07
PUMP_B,2026-02-24 14:36:22,72.95,1.128,4.29
MOTOR_C,2026-02-24 14:36:22,71.81,1.395,3.64
COMPRESSOR_D,2026-02-24 14:36:22,72.71,1.127,4.61
PUMP_A,2026-02-24 14:36:24,86.85,4.24,2.32
PUMP_B,2026-02-24 14:36:24,64.27,1.09,4.59
MOTOR_C,2026-02-24 14:36:24,64.16,1.787,4.26
COMPRESSOR_D,2026-02-24 14:36:24,64.52,1.134,3.63
PUMP_A,2026-02-24 14:36:26,94.2,3.74,2.34
PUMP_B,2026-02-24 14:36:26,69.72,1.182,4.65
MOTOR_C,2026-02-24 14:36:26,67.77,1.116,4.18
COMPRESSOR_D,2026-02-24 14:36:26,72.57,2.26,4.7
PUMP_A,2026-02-24 14:36:28,91.2,3.765,2.94
PUMP_B,2026-02-24 14:36:28,64.52,1.363,3.81
MOTOR_C,2026-02-24 14:36:28,72.81,1.918,3.89
COMPRESSOR_D,2026-02-24 14:36:28,62.24,2.294,4.53
PUMP_A,2026-02-24 14:36:30,89.62,3.631,2.47
PUMP_B,2026-02-24 14:36:30,71.51,1.8,4.03
MOTOR_C,2026-02-24 14:36:30,66.64,1.385,3.74
COMPRESSOR_D,2026-02-24 14:36:30,67.54,1.055,4.41
PUMP_A,2026-02-24 14:36:32,92.53,4.212,2.86
PUMP_B,2026-02-24 14:36:32,68.79,1.281,4.37
MOTOR_C,2026-02-24 14:36:32,64.68,1.764,3.99
COMPRESSOR_D,2026-02-24 14:36:32,63.51,1.988,4.4
PUMP_A,2026-02-24 14:36:34,86.31,4.213,2.68
PUMP_B,2026-02-24 14:36:34,66.99,1.669,4.34
MOTOR_C,2026-02-24 14:36:34,70.48,1.004,3.83
COMPRESSOR_D,2026-02-24 14:36:34,62.17,1.545,3.66
PUMP_A,2026-02-24 14:36:36,91.49,3.661,2.2
PUMP_B,2026-02-24 14:36:36,72.82,1.552,4.55
MOTOR_C,2026-02-24 14:36:36,72.53,1.503,4.31
COMPRESSOR_D,2026-02-24 14:36:36,64.11,2.17,3.62
PUMP_A,2026-02-24 14:36:38,88.03,3.78,2.92
PUMP_B,2026-02-24 14:36:38,62.31,1.859,3.99
MOTOR_C,2026-02-24 14:36:38,68.71,2.249,3.83
COMPRESSOR_D,2026-02-24 14:36:38,71.22,1.935,4.65
PUMP_A,2026-02-24 14:36:40,92.69,4.774,2.73
PUMP_B,2026-02-24 14:36:40,69.7,1.219,4.47
MOTOR_C,2026-02-24 14:36:40,69.95,1.343,4.63
COMPRESSOR_D,2026-02-24 14:36:40,73.1,1.226,3.93
PUMP_A,2026-02-24 14:36:42,83.57,4.385,2.73
PUMP_B,2026-02-24 14:36:42,73.4,1.593,4.12
MOTOR_C,2026-02-24 14:36:42,65.84,1.95,4.12
COMPRESSOR_D,2026-02-24 14:36:42,71.14,1.997,3.79
PUMP_A,2026-02-24 14:36:44,87.34,3.8,2.16
PUMP_B,2026-02-24 14:36:44,66.31,2.202,4.43
MOTOR_C,2026-02-24 14:36:44,70.89,1.956,3.65
COMPRESSOR_D,2026-02-24 14:36:44,67.53,1.924,4.06
PUMP_A,2026-02-24 14:36:47,85.2,3.664,2.23
PUMP_B,2026-02-24 14:36:47,64.43,1.585,3.64
MOTOR_C,2026-02-24 14:36:47,70.81,1.685,4.27
COMPRESSOR_D,2026-02-24 14:36:47,70.9,2.207,4.59
PUMP_A,2026-02-24 14:36:49,84.19,3.856,2.28
PUMP_B,2026-02-24 14:36:49,71.34,1.271,4.14
MOTOR_C,2026-02-24 14:36:49,62.96,1.797,4.01
COMPRESSOR_D,2026-02-24 14:36:49,69.3,2.175,4.54
PUMP_A,2026-02-24 14:36:51,91.82,4.589,2.6
PUMP_B,2026-02-24 14:36:51,67.89,1.653,4.3
MOTOR_C,2026-02-24 14:36:51,68.04,2.012,4.41
COMPRESSOR_D,2026-02-24 14:36:51,68.24,2.16,4.77
PUMP_A,2026-02-24 14:36:53,92.28,4.781,2.73
PUMP_B,2026-02-24 14:36:53,69.29,1.564,4.39
MOTOR_C,2026-02-24 14:36:53,66.04,1.477,3.85
